End Station,End Latitude,End Longitude,Total Trips Ended
E 106 St & Madison Ave,40.7934337,-73.94945003,7343
E 109 St & 3 Ave,40.79329668,-73.9432083,6566
E 11 St & 1 Ave,40.72953837,-73.98426726,33312
E 11 St & 2 Ave,40.73047309,-73.98672378,35643
E 11 St & Avenue B,40.72746421,-73.97950418,26126
E 110 St & Madison Ave,40.7961535,-73.94782145,14254
E 114 St & 1 Ave,40.7945663,-73.9362541,5640
E 115 St & Lexington Ave,40.797911,-73.9423,7545
E 115 St & Madison Ave,40.7989445,-73.944846,4711
E 116 St & 2 Ave,40.796879,-73.937261,4642
E 118 St & 1 Ave,40.79747,-73.93504,6520
E 118 St & 3 Ave,40.799139,-73.9389152,7935
E 118 St & Madison Ave,40.8014866,-73.9442507,5801
E 118 St & Park Ave,40.8005385,-73.9419949,3562
E 12 St & 3 Ave,40.73223272,-73.98889957,28167
E 12 St & 4 Av,40.73269,-73.98974,17205
E 123 St & Lexington Ave,40.8029263,-73.9379,4578
E 128 St & 3 Ave,40.805631,-73.934077,463
E 128 St & Madison Ave,40.80756,-73.939182,4244
E 13 St & Avenue A,40.72966729,-73.98067966,56821
E 132 St & Madison Ave,40.810224,-73.937195,2620
E 133 St & Cypress Pl,40.80262,-73.9174,64
E 134 St & Walnut Ave,40.800425,-73.911034,389
E 135 St & St Ann's Ave,40.805089,-73.918889,551
E 138 St & 5 Av,40.81449,-73.936153,1733
E 138 St & Canal St W,40.812304,-73.929153,597
E 138 St & Cypress Ave,40.805559,-73.914718,476
E 138 St & Grand Concourse,40.813224,-73.930605,399
E 138 St & Willow Ave,40.804168,-73.911545,369
E 141 St & Jackson Ave,40.806896,-73.911837,505
E 141 St & St Ann's Ave,40.808633,-73.916124,849
E 142 St & 3 Ave,40.812735,-73.923697,764
E 144 St & Brook Ave,40.811675,-73.917037,503
E 147 St & Bergen Ave,40.814673,-73.91839,775
E 149 St & Eagle Ave,40.814046,-73.91186,531
E 149 St & Jackson Ave,40.813135,-73.909235,1049
E 149 St & Morris Ave,40.81734,-73.922962,1734
E 149 St & Park Ave,40.818154,-73.925294,181
E 15 St & 3 Ave,40.734232,-73.986923,40893
E 150 St & Gerard Ave,40.820089,-73.928947,1384
E 153 St & E 157 St,40.826677,-73.929327,248
E 155 St & Courtlandt Ave,40.82057,-73.917579,477
E 156 & Brook Ave,40.819823,-73.912411,913
E 157 St & River Ave,40.825737,-73.927311,424
E 158 St & Melrose Ave,40.822215,-73.914688,478
E 16 St & 5 Ave,40.73726186,-73.99238967,40507
E 16 St & Irving Pl,40.73536706,-73.98797393,21890
E 160 St & Tinton Ave,40.820302,-73.903944,429
E 161 St & Park Ave,40.824811,-73.916407,92
E 161 St & River Ave,40.827883,-73.927111,2447
E 163 St & Tiffany St,40.821075,-73.895069,277
E 163 St & Union Ave,40.822545,-73.901824,198
E 165 St & Clay Ave,40.82809,-73.91288,83
E 165 St & Fox St,40.82394,-73.894025,16
E 165 St & Jerome Ave,40.83263,-73.925101,69
E 167 St & Bryant Ave,40.826706,-73.888719,6
E 167 St & Clay Ave,40.83094,-73.91125,282
E 167 St & Franklin Ave,40.82895,-73.90521,128
E 169 St & Fox St,40.827184,-73.893721,251
E 169 St & Webster Ave,40.834015,-73.908863,1043
E 17 St & Broadway,40.73704984,-73.99009296,74314
E 170 St & Clay Ave,40.837213,-73.908345,40
